title,complex,address,price,price_per_mp,rooms,square_footage,floor_no,bathrooms,bedrooms
Avantgarden 3 – schița apartament cu 2 camere apartament camere de la 52.39m2 - Korter.ro,Avantgarden 3,"str.Pelicanului, 5, Brașov(Bloc B78)",83600,1596,2,52.392,0,0,0
Green Residence – schița apartament cu 2 camere apartament camere de la 55.43m2 - Korter.ro,Green Residence,"str.Drumul cu Plopi, 114-116, zona Sânpetru, Brașov(Vila 48)",0,0,2,55.432,0,0,0
Valcom Residence Tractorul – schița apartament cu 3 camere apartament camere de la 83.88m2 - Korter.ro,Valcom Residence Tractorul,"str.Іoan Popasu, 23, zona Tractorul, Brașov(Bloc C1)",136000,1621,3,83.882,0,0,0
ONE66 – schița apartament cu 4 camere apartament camere de la 257.43m2 - Korter.ro,ONE66,"str.Mihai Viteazul, 166(Bloc 1)",0,0,4,257.432,0,0,0
Alphaville Arena – schița apartament cu 2 camere apartament camere de la 62.42m2 - Korter.ro,Alphaville Arena,Str.Stadionului nr.16(Bloc 2),120000,1922,2,62.422,0,0,0
Elegant House Centrul Civic – schița apartament cu 3 camere apartament camere de la 102.0m2 - Korter.ro,Elegant House Centrul Civic,"bd.15 Noiembrie, 71-73, Brașov(Elegant House Centrul Civic)",186000,1824,3,1022,0,0,0
Vivamus Park Residence – schița apartament cu Garsonieră camere de la 46.5m2 - Korter.ro,Vivamus Park Residence,"str.Orizontului, 2, Brașov(Bloc 7)",60600,1303,0,46.52,0,0,0
Alphaville Arena – schița apartament cu 2 camere apartament camere de la 75.19m2 - Korter.ro,Alphaville Arena,Str.Stadionului nr.16(Bloc 2),113510,1510,2,75.192,0,0,0
Dynamic Residence 2 – schița apartament cu 2 camere apartament camere de la 55.0m2 - Korter.ro,Dynamic Residence 2,"str.Stefan Baciu, Brașov(Bloc 2)",90500,1645,2,552,0,0,0
Green Residence – schița apartament cu 2 camere apartament camere de la 56.19m2 - Korter.ro,Green Residence,"str.Drumul cu Plopi, 114-116, zona Sânpetru, Brașov(Vila 48)",0,0,2,56.192,0,0,0
Sunnyville Plus – schița apartament cu 2 camere apartament camere de la 63.01m2 - Korter.ro,Sunnyville Plus,"str.Carpatilor, nr 24, Brasov(Bloc 1)",96014,1524,2,63.012,0,0,0
Cosmopolit Zenit – schița apartament cu Studio camere de la 60.22m2 - Korter.ro,Cosmopolit Zenit,"str.Carpaților, 15-17, Brașov(Bloc C)",106731,1772,0,60.222,ETAJ CONTRACTAT30,0,0
Transilvania Residence – schița apartament cu 2 camere apartament camere de la 59.73m2 - Korter.ro,Transilvania Residence,"str.Nucului, 48, Brașov(Tronson 3)",100000,1674,2,59.732,0,0,0
Cosmopolit Zenit – schița apartament cu 2 camere apartament camere de la 68.39m2 - Korter.ro,Cosmopolit Zenit,"str.Carpaților, 15-17, Brașov(Bloc B)",125094,1829,2,68.392,ETAJ CONTRACTAT30,0,0
Cosmopolit Cantacuzino – schița apartament cu 2 camere apartament camere de la 112.01m2 - Korter.ro,Cosmopolit Cantacuzino,"str.Dr.Ion Cantacuzino, 22, Brașov(Bloc B)",174595,1559,2,112.012,"ETAJ CONTRACTATSiguranță în achiziționarea apartamentuluiPosibilitatea de a urmări îndeaproape lucrările la apartamentul dumneavoastrăPosibilitatea achitării restului de plată in faza finală a proiectului, permițând o mai buna gestionare a bugetului familieiPrețul este cu 5",0,0
Vitus Residence – schița apartament cu 2 camere apartament camere de la 99.0m2 - Korter.ro,Vitus Residence,"str.Mihai Viteazul, 87, Brașov(SCARA A)",152900,1544,2,992,0,0,0
Coder Residence 3 – schița apartament cu 2 camere apartament camere de la 84.92m2 - Korter.ro,Coder Residence 3,"str.Plugarilor, 2M, Brașov(vila 4)",0,0,2,84.922,0,0,0
Radsor Residence – schița apartament cu 2 camere apartament camere de la 66.75m2 - Korter.ro,Radsor Residence,"str.Calea Brașovului, Râșnov, zona Sud, Brașov(C2)",78520,1176,2,66.752,0,0,0
